BIOCARTA_41BB_PATHWAY
http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_41BB_PATHWAY
Non-Proneural
Proneural
Gene	Ratio	Non-Proneural Up Reg.	Non-Proneural Zero Reg.	Non-Proneural Down Reg.	Proneural Up Reg.	Proneural Zero Reg.	Proneural Down Reg.	
JUN	0.7777777777777778	0.6068965517241379	0.30344827586206896	0.0896551724137931	0.3157894736842105	0.543859649122807	0.14035087719298245
MAP3K5	0.75	0.07586206896551724	0.8275862068965517	0.09655172413793103	0.03508771929824561	0.7368421052631579	0.22807017543859648
MAPK8	0.8333333333333334	0.020689655172413793	0.06896551724137931	0.9103448275862069	0.08771929824561403	0.17543859649122806	0.7368421052631579
CHUK	0.8333333333333334	0.0	0.6827586206896552	0.31724137931034485	0.017543859649122806	0.5964912280701754	0.38596491228070173
MAPK14	0.8	0.1793103448275862	0.4	0.4206896551724138	0.08771929824561403	0.2807017543859649	0.631578947368421
MAP3K1	0.7	0.8758620689655172	0.12413793103448276	0.0	0.8421052631578947	0.15789473684210525	0.0
RELA	0.4	0.5862068965517241	0.41379310344827586	0.0	0.5263157894736842	0.47368421052631576	0.0
TNFRSF9	1.0	0.020689655172413793	0.9793103448275862	0.0	0.0	1.0	0.0
IKBKB	1.0	0.9586206896551724	0.041379310344827586	0.0	0.7894736842105263	0.21052631578947367	0.0
MAP4K5	0.375	0.15172413793103448	0.6689655172413793	0.1793103448275862	0.5263157894736842	0.43859649122807015	0.03508771929824561
IFNG	0.8	0.4827586206896552	0.4689655172413793	0.04827586206896552	0.3157894736842105	0.6842105263157895	0.0
TRAF2	0.5	0.503448275862069	0.32413793103448274	0.1724137931034483	0.6842105263157895	0.2982456140350877	0.017543859649122806
ATF2	0.5	0.16551724137931034	0.6275862068965518	0.20689655172413793	0.10526315789473684	0.6666666666666666	0.22807017543859648
IL4	0.5	0.9241379310344827	0.06206896551724138	0.013793103448275862	0.5614035087719298	0.40350877192982454	0.03508771929824561
NFKB1	0.5384615384615384	0.2827586206896552	0.7172413793103448	0.0	0.03508771929824561	0.9473684210526315	0.017543859649122806
NFKBIA	0.5	0.3724137931034483	0.6068965517241379	0.020689655172413793	0.22807017543859648	0.5964912280701754	0.17543859649122806
IL2	0.5	0.38620689655172413	0.5724137931034483	0.041379310344827586	0.38596491228070173	0.5789473684210527	0.03508771929824561
