Non-Proneural
Gene	JUN	MAP3K5	MAPK8	CHUK	MAPK14	MAP3K1	RELA	TNFRSF9	IKBKB	MAP4K5	IFNG	TRAF2	ATF2	IL4	NFKB1	NFKBIA	IL2
JUN	0.0	0.9345287454106975	0.6724410904607736	0.8524443668208868	0.3146643528559496	0.8961923996629871	0.9888861470699057	0.277591354260754	0.8148265332984345	0.9443460565251818	0.8870225023858316	0.19954866621637057	0.2361607826408456	0.2496413924510963	0.8781417907343996	0.9999468775246579	0.4952517109806539
MAP3K5	0.9345287454106975	0.0	0.999381449316318	0.7841367316914722	0.01449895688815428	0.4303221825401311	0.22814114188210266	0.21692737639620785	0.037261329277925914	0.11577775685923353	0.1604487491289298	0.2612903343681	0.2692270942701095	0.20795286853075057	0.37729334370741063	0.03440401019842976	0.010934477385487917
MAPK8	0.6724410904607736	0.999381449316318	0.0	0.5213933127827887	0.9103141202705999	0.05461365050214195	0.07059008998783733	0.834625472631234	0.45287612291760904	0.409071121639745	0.1960051256353208	0.01275808227705022	0.1954410427328921	0.8467747375432249	0.14097963753643838	0.9898543954343544	0.8575825013870271
CHUK	0.8524443668208868	0.7841367316914722	0.5213933127827887	0.0	0.9967722928333721	0.8575428986866266	0.9318481987768138	0.4287901339915001	0.7913863714778767	0.9113152886072694	0.02832905716848033	0.9999973459700613	0.998590696865241	0.051839900742812306	0.7665117853477966	0.4231610693662493	0.06417205244080826
MAPK14	0.3146643528559496	0.01449895688815428	0.9103141202705999	0.9967722928333721	0.0	0.9156224151114611	0.5695213457446633	0.0606428996412286	0.4327252587107343	0.374386861610581	0.36587007466968213	0.7508120285078493	0.9299205099987697	0.013560731611878096	0.9976707294287145	0.7753969907385447	0.3948148967497833
MAP3K1	0.8961923996629871	0.4303221825401311	0.05461365050214195	0.8575428986866266	0.9156224151114611	0.0	0.8080580490635282	0.9539651088086026	0.9735457100130386	0.9874946543047053	0.9070686141857203	0.28353198498290255	0.08763365090364794	0.1984237106890857	0.9990514383379769	0.037169805600414274	0.3871360786744078
RELA	0.9888861470699057	0.22814114188210266	0.07059008998783733	0.9318481987768138	0.5695213457446633	0.8080580490635282	0.0	0.24066585238247473	0.9893638077213007	0.8238528709825251	0.828740326882267	0.9851396144946261	0.8397069015118217	0.11498230161740597	0.9744909422532106	0.9718805789426148	0.07937438565212618
TNFRSF9	0.277591354260754	0.21692737639620785	0.834625472631234	0.4287901339915001	0.0606428996412286	0.9539651088086026	0.24066585238247473	0.0	0.7291092560911657	0.0633806428153677	0.6779747577153309	0.36145120575713974	0.49122250734241635	0.9438017158996391	0.9676302373742748	0.8123829079260438	0.4760826325844616
IKBKB	0.8148265332984345	0.037261329277925914	0.45287612291760904	0.7913863714778767	0.4327252587107343	0.9735457100130386	0.9893638077213007	0.7291092560911657	0.0	0.2502112606592337	0.11859752542513746	0.6856332131353586	0.763673758512984	0.6737804627928309	0.14440604329232543	0.45821956963896504	0.982324325756375
MAP4K5	0.9443460565251818	0.11577775685923353	0.409071121639745	0.9113152886072694	0.374386861610581	0.9874946543047053	0.8238528709825251	0.0633806428153677	0.2502112606592337	0.0	0.21389963091677688	0.9909060180354861	0.49691222261023893	0.6560410945255606	0.21459627365434653	0.9944993290701677	0.9417855794644421
IFNG	0.8870225023858316	0.1604487491289298	0.1960051256353208	0.02832905716848033	0.36587007466968213	0.9070686141857203	0.828740326882267	0.6779747577153309	0.11859752542513746	0.21389963091677688	0.0	0.06125415138377599	0.5347530875032748	0.6049654181098988	0.8120417837110361	0.3205011122768844	0.8322307129189277
TRAF2	0.19954866621637057	0.2612903343681	0.01275808227705022	0.9999973459700613	0.7508120285078493	0.28353198498290255	0.9851396144946261	0.36145120575713974	0.6856332131353586	0.9909060180354861	0.06125415138377599	0.0	0.9611338178404029	0.5309948162383242	0.44006203209368044	0.011072090007431257	0.5665138147676264
