Network structure	Probability in Non-Proneural	Probability in Proneural
Network 1	0.004589292939418875	1.725477524348846E-5
Network 2	0.004589292939418875	1.725477524348846E-5
Network 3	0.0010710853217257082	8.464422253048986E-6
Network 4	0.013624677889465957	2.4238140092682806E-5
Network 5	0.004103981835535594	1.1890149218283573E-5
Network 6	0.0019652729394719955	7.5408853684385E-6
Network 7	0.002197673768205835	1.0943200104607152E-5
Network 8	0.017584383315963386	2.4238140092682806E-5
Network 9	2.560901669501537E-4	9.846541309340768E-6
Network 10	6.332966300772183E-4	1.7779416612396274E-5
Network 11	0.0020490701232589816	2.1809145899078643E-5
Network 12	0.008420630030311927	1.5372139796363072E-5
Network 13	9.137119453281996E-4	6.254479591853711E-6
Network 14	0.002113885369353524	2.7592026924874137E-5
Network 15	1.3541378356808501E-5	1.0369062121405742E-5
Network 16	6.046080340688736E-6	1.3105959680795465E-5
Network 17	2.22313556933973E-4	2.9692136428783692E-5
Network 18	0.002426546059052792	2.497511468774763E-5
Network 19	0.015318633859037133	2.677783154982937E-5
Network 20	0.1331737818168338	3.038271393489603E-5
Network 21	0.0048984624839556595	1.4697198679330639E-5
Network 22	0.014744109251190492	1.653124724849693E-5
Network 23	5.188528838666002E-5	1.456563628223484E-5
Network 24	5.516962992673191E-4	1.9642357923523688E-5
Network 25	1.2971186104041173E-4	8.012320516488422E-6
Network 26	0.0012784343293527848	1.0462719455825872E-5
Network 27	6.237327180287299E-6	1.658111665914E-5
Network 28	2.5100802674007635E-4	1.2068455364978703E-5
Network 29	6.97491429944456E-6	2.4062224618642806E-5
Network 30	0.023678675533647678	1.4444522919595796E-5
Network 31	0.031081145794274512	1.4904402770219154E-5
Network 32	0.10145632307450143	2.9445246116740256E-5
Network 33	9.670587258953144E-5	7.616171008264872E-6
Network 34	5.80209165622526E-5	2.1137394974143454E-5
Network 35	0.011444674700934566	0.014351434108211164
Network 36	0.01989541205122721	0.01446442754185767
Network 37	0.011362796761116439	0.032607175147602044
Network 38	0.0012222461776819347	0.008854544958290269
Network 39	0.001964036745042862	0.007814156297020904
Network 40	0.0056245560162153565	0.029334457017425684
Network 41	0.004763408750856532	0.0238113228470757
Network 42	0.008176644160732023	0.018721622209137333
Network 43	0.005088434367098323	0.021214247481347585
Network 44	0.06688019729610327	0.04923063221979965
Network 45	0.005143847416464045	0.023409647377490118
Network 46	3.2588198401778157E-4	0.13776408079428246
Network 47	0.027049043587349476	0.036009969310421525
Network 48	0.013528405674951931	0.020801503669154064
Network 49	0.027532209693421208	0.02431648775898908
Network 50	0.001810649719720005	0.011080515768067626
Network 51	6.365159938097011E-4	0.008347931667264063
Network 52	0.0013293793912627068	0.0101900855727888
Network 53	0.004496399723178735	0.016555137642183828
Network 54	0.02965090964590139	0.038961963814304036
Network 55	0.006541128377506014	0.025503798199711717
Network 56	0.003189418216429895	0.010580200790021654
Network 57	5.001784626643355E-4	0.0155187526144498
Network 58	6.154141341614031E-4	0.014474800731653779
Network 59	0.025729465423068403	0.0374303891514238
Network 60	0.018585117648335273	0.019431535372222832
Network 61	0.04764627382917518	0.03438402270449728
Network 62	0.007122173219689503	0.016262205885943543
Network 63	4.938966293541068E-5	0.0017257785423876908
Network 64	0.04392520281111946	0.04875672961545921
Network 65	0.0031334467271296775	0.01566808124277506
Network 66	0.12194773673318864	0.04275842656678669
Network 67	0.003611931661994046	0.011700594445251834
Network 68	0.0017195789805181645	0.02086249335480274
Network 69	0.0010530420365075961	0.01518505794919935
Network 70	4.189320678776024E-5	0.0030012741036343437
Network 71	0.016357446590590123	0.017702099901116475
Network 72	0.018258965151858514	0.02877590708590147
Network 73	0.02986456790685415	0.017148374671413787
Network 74	1.9086676399704676E-4	0.0030624448893203492
Network 75	0.0019499855564670896	0.017754153423727586
Network 76	0.002834839088110552	0.01700343642453138
Network 77	0.0010851419529520653	0.007435119738661877
Network 78	0.0025585470628443417	0.009453027321700402
