BIOCARTA_AKT_PATHWAY
http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AKT_PATHWAY
Non-Proneural
Proneural
Gene	Ratio	Non-Proneural Up Reg.	Non-Proneural Zero Reg.	Non-Proneural Down Reg.	Proneural Up Reg.	Proneural Zero Reg.	Proneural Down Reg.	
CASP9	1.0	0.2620689655172414	0.5862068965517241	0.15172413793103448	0.43859649122807015	0.45614035087719296	0.10526315789473684
IKBKG	0.6	0.18620689655172415	0.6758620689655173	0.13793103448275862	0.07017543859649122	0.6491228070175439	0.2807017543859649
FOXO4	0.4	0.020689655172413793	0.2896551724137931	0.6896551724137931	0.10526315789473684	0.3333333333333333	0.5614035087719298
CHUK	0.4166666666666667	0.0	0.6827586206896552	0.31724137931034485	0.017543859649122806	0.5964912280701754	0.38596491228070173
FOXO1	0.8	0.43448275862068964	0.5655172413793104	0.0	0.24561403508771928	0.7543859649122807	0.0
FOXO3	0.4	0.22758620689655173	0.6689655172413793	0.10344827586206896	0.3333333333333333	0.631578947368421	0.03508771929824561
RELA	0.5384615384615384	0.5862068965517241	0.41379310344827586	0.0	0.5263157894736842	0.47368421052631576	0.0
PDPK1	0.5	0.0	0.6827586206896552	0.31724137931034485	0.0	0.7543859649122807	0.24561403508771928
GHR	0.5	0.06896551724137931	0.5379310344827586	0.3931034482758621	0.07017543859649122	0.5614035087719298	0.3684210526315789
IKBKB	0.5714285714285714	0.9586206896551724	0.041379310344827586	0.0	0.7894736842105263	0.21052631578947367	0.0
AKT1	0.46153846153846156	0.38620689655172413	0.593103448275862	0.020689655172413793	0.17543859649122806	0.8070175438596491	0.017543859649122806
PIK3CA	0.7	0.2896551724137931	0.4689655172413793	0.2413793103448276	0.47368421052631576	0.40350877192982454	0.12280701754385964
GH1	0.4	0.2	0.7655172413793103	0.034482758620689655	0.07017543859649122	0.9122807017543859	0.017543859649122806
PPP2CA	0.75	0.013793103448275862	0.43448275862068964	0.5517241379310345	0.08771929824561403	0.42105263157894735	0.49122807017543857
FASLG	1.0	0.42758620689655175	0.43448275862068964	0.13793103448275862	0.24561403508771928	0.47368421052631576	0.2807017543859649
HSP90AA1	0.4166666666666667	0.006896551724137931	0.0896551724137931	0.903448275862069	0.017543859649122806	0.07017543859649122	0.9122807017543859
YWHAH	0.75	0.0	0.23448275862068965	0.7655172413793103	0.0	0.14035087719298245	0.8596491228070176
BAD	0.7	0.2413793103448276	0.5103448275862069	0.2482758620689655	0.24561403508771928	0.2982456140350877	0.45614035087719296
NFKB1	0.5	0.2827586206896552	0.7172413793103448	0.0	0.03508771929824561	0.9473684210526315	0.017543859649122806
PIK3CG	0.38461538461538464	0.7448275862068966	0.25517241379310346	0.0	0.5087719298245614	0.47368421052631576	0.017543859649122806
PIK3R1	0.375	0.0	0.9586206896551724	0.041379310344827586	0.017543859649122806	0.9649122807017544	0.017543859649122806
NFKBIA	0.7272727272727273	0.3724137931034483	0.6068965517241379	0.020689655172413793	0.22807017543859648	0.5964912280701754	0.17543859649122806
