Non-Proneural
Gene	CASP9	IKBKG	FOXO4	CHUK	FOXO1	FOXO3	RELA	PDPK1	GHR	IKBKB	AKT1	PIK3CA	GH1	PPP2CA	FASLG	HSP90AA1	YWHAH	BAD	NFKB1	PIK3CG	PIK3R1	NFKBIA
CASP9	0.0	0.07551309925601823	0.05211603708013157	2.620889559409312E-4	0.5369062474523739	0.37480468353648333	0.10664678899504021	0.7855778711464683	0.1643428339948022	0.462693712533792	0.09623873346218348	0.49045028618232955	0.09494717653529527	0.07718578877800009	0.3862726485621786	0.7886577478357132	0.5258024715193556	0.6395012432084837	0.2536926835328954	0.697196773332858	0.09358550085680806	0.603990570756864
IKBKG	0.07551309925601823	0.0	0.1646407066654716	0.463825397020586	0.5002325430212523	0.040368515155359996	0.9999447089953264	0.6806635246696169	0.6613431315733377	0.32496997086630164	0.9394573195254868	0.03945383962064908	0.7850345212693394	0.5887685002217276	0.24346171626763446	0.4346347913242401	0.18760202676306192	0.998899916646982	0.8959313444964974	0.9789538383754925	0.14911580008016545	0.07795143668889526
FOXO4	0.05211603708013157	0.1646407066654716	0.0	0.23478567727262978	0.29468150892565137	0.42667918177014064	0.8721805719845125	0.18798803592085978	0.25887870540350544	0.6691316822589574	0.596042482308045	0.3907676626064136	0.488252395454144	0.8497288980709725	0.034106613572967404	0.9791660752531166	0.08757515079700307	0.13615182311172946	0.1349073166286041	0.9616799014442352	0.4658557790244213	0.5357283703169159
CHUK	2.620889559409312E-4	0.463825397020586	0.23478567727262978	0.0	0.2848476655577332	0.5396841148827138	0.9318481987768138	0.9089014016636554	0.5163680461715904	0.7913863714778767	0.658351487001038	0.9569558696315476	0.18048021175612783	0.9999999989759322	0.24021133403492057	0.13613189077689491	0.9989593319836744	0.7307821834488373	0.7665117853477966	0.9687417722312677	0.8473958208750401	0.4231610693662493
FOXO1	0.5369062474523739	0.5002325430212523	0.29468150892565137	0.2848476655577332	0.0	0.9999983394425002	0.8336782661805061	0.9688314625583989	0.9197193100104908	0.9236537076373694	0.7892864524486276	0.9979461347730066	0.7581792940832122	0.16228654867915415	0.26705610152756787	0.43823523701196154	0.8642327197325003	0.7095142284851519	0.8806131562429392	0.023257621152179997	0.07164907639880447	0.9533407104990069
FOXO3	0.37480468353648333	0.040368515155359996	0.42667918177014064	0.5396841148827138	0.9999983394425002	0.0	0.9946723047225575	0.9999969244057622	0.5152349061120013	0.28042802085298013	0.9995767095549086	0.997513414140291	0.9747686389815283	0.03788902184755327	0.27653550429703944	0.38187640735386985	0.08933016571566321	0.904464557017184	0.7398483011749861	0.9231438159879334	0.6196215973003139	0.9959818706982151
RELA	0.10664678899504021	0.9999447089953264	0.8721805719845125	0.9318481987768138	0.8336782661805061	0.9946723047225575	0.0	0.9279837660159298	0.939346413217849	0.9893638077213007	0.9976021146917821	0.7181866011074862	0.29267655131362424	0.8024372126605648	0.049222789727323524	0.018801000529935163	0.5578225509949954	0.9989179612869996	0.9744909422532106	0.7995765871170419	0.011646100565607331	0.9718805789426148
PDPK1	0.7855778711464683	0.6806635246696169	0.18798803592085978	0.9089014016636554	0.9688314625583989	0.9999969244057622	0.9279837660159298	0.0	0.500367252560241	0.7913863714778767	0.9399628005049946	0.9999999772631966	0.999996471833937	0.7801798387072008	0.08539411427558896	0.4294286427978713	0.8892041406200658	0.9998245568867947	0.7665117853477966	0.6454848823369083	0.8473958208750401	0.44730034143885034
GHR	0.1643428339948022	0.6613431315733377	0.25887870540350544	0.5163680461715904	0.9197193100104908	0.5152349061120013	0.939346413217849	0.500367252560241	0.0	0.35211131129273743	0.46918562928650953	0.8512985778699284	0.1610544946039839	0.2320871921083716	0.7612168802814289	0.440430586189124	0.8815272566156185	0.5773305535593245	0.2061427642327749	0.5325616642054569	0.025450516816311497	0.03322215810071427
