Network structure	Probability in Non-Proneural	Probability in Proneural
Network 1	0.004786373684028337	1.285859806867599E-4
Network 2	8.498357203913311E-4	2.250802336341383E-4
Network 3	0.0015701880320285382	3.867922134130796E-4
Network 4	0.0012403095236595278	1.964478512456483E-4
Network 5	4.126930742897984E-5	7.740756643566792E-6
Network 6	0.0058669421651577755	1.7103246590295166E-4
Network 7	1.944706910816986E-4	2.3764319992476186E-4
Network 8	7.266316352701975E-4	1.0508149098853014E-4
Network 9	9.332550593130886E-4	1.1254447861989922E-4
Network 10	9.952254820003565E-4	1.3048600156485154E-4
Network 11	0.0031753757637419788	9.95263763062025E-5
Network 12	0.003487068648241529	4.97651168627998E-5
Network 13	0.01760510205505055	6.492904643504154E-5
Network 14	1.9330751641467354E-4	4.3306381874999445E-5
Network 15	0.017038845011581646	1.0939241084058461E-4
Network 16	0.006214293051791171	2.6494014300658744E-4
Network 17	1.959817865379019E-4	2.5187610208506206E-5
Network 18	0.0056806159342974	1.1554018361878352E-4
Network 19	0.002923680418269524	7.044978306132352E-5
Network 20	2.4109829038030024E-5	1.2377283831366772E-4
Network 21	0.0011439460894166857	1.4969563244233896E-4
Network 22	0.0025905377221435866	7.482612516850634E-5
Network 23	0.0038741424396275008	7.95329342656108E-5
Network 24	5.928012308854906E-4	7.900258292746681E-5
Network 25	0.001280992118877487	2.9079891832902745E-4
Network 26	0.00984097763876126	5.592991551768904E-5
Network 27	0.023219447090742085	1.1715170162100529E-4
Network 28	4.2119285555466306E-4	4.9834990414266067E-5
Network 29	0.0015880185839055121	1.4268153389646163E-4
Network 30	0.0028339111028302466	1.7158051581588453E-4
Network 31	4.072128053522469E-4	8.722868339272771E-5
Network 32	0.00340077971281576	8.111229883226752E-5
Network 33	7.696516848398345E-4	1.6277789776850872E-4
Network 34	0.0046343648618973705	8.68656587561576E-5
Network 35	0.0018658478544645218	3.0837266956002207E-4
Network 36	0.010508672270090915	1.7617007718600245E-4
Network 37	9.37983814890438E-4	9.754043762487708E-5
Network 38	0.02398105324562378	1.73417972738183E-4
Network 39	9.101612823696198E-4	1.8343655068481628E-4
Network 40	0.0015221975635018987	2.318413753963555E-4
Network 41	6.236246310459376E-4	2.1017252885881848E-4
Network 42	2.457127623111233E-4	6.399777597415471E-5
Network 43	0.0035123265016154797	1.2006936504542778E-4
Network 44	5.739746571966881E-4	5.3369825954432334E-5
Network 45	5.046401171713744E-4	2.5214847150465346E-4
Network 46	6.538675734674981E-4	5.23306443105318E-5
Network 47	0.001520320961668099	2.6129567345080753E-4
Network 48	0.0057754204695142095	1.9530939104931726E-4
Network 49	0.004168537437457175	1.0788762826434558E-4
Network 50	5.087659701976428E-4	1.5801234341123884E-4
Network 51	0.011377908271811187	4.132137107862228E-5
Network 52	2.885930705166954E-4	5.709846768225479E-5
Network 53	0.0019009828516484987	6.987017783593689E-5
Network 54	0.001778090336075971	7.479893781009896E-5
Network 55	9.255265868343029E-5	1.1369619428252631E-4
Network 56	0.0015382846687562468	8.382474455985781E-5
Network 57	0.0014672351396559696	6.104981101490391E-5
Network 58	3.703139316585348E-4	2.3544796026007391E-4
Network 59	1.052537253368975E-4	1.3828816895935185E-4
Network 60	0.012979309003144373	1.0091453877998085E-4
Network 61	0.007183470951433866	8.425640705405396E-5
Network 62	6.933136910714148E-4	1.692202847117575E-4
Network 63	0.003473692954017637	2.2821958166947178E-4
Network 64	0.0052713592924221965	7.867586530007342E-5
Network 65	0.019564242997280205	1.303794573476051E-4
Network 66	0.001115638677031708	2.4398931697525516E-4
Network 67	0.001426188319288039	2.3656909636119163E-4
Network 68	0.013900644845964436	8.224362756721947E-5
Network 69	0.0014129511963904937	1.9262274975154786E-4
Network 70	0.010588790770507214	7.58697763378987E-5
Network 71	0.0045601592385997505	2.4739240293495925E-4
Network 72	7.723706365178841E-5	1.2912894976235844E-4
Network 73	8.394480731174415E-4	1.3978086445683648E-4
Network 74	0.01439264222842935	1.03956662125889E-4
Network 75	0.012149981682553178	1.193254756096855E-4
Network 76	1.713691686827777E-4	6.39651519766078E-5
Network 77	0.0010970237357563041	2.0892760735361415E-4
Network 78	9.623590620085193E-4	4.352663216594409E-5
Network 79	0.004305266953746474	1.5970449868206888E-4
Network 80	0.0024075859414456452	5.5160553532567534E-5
Network 81	0.0047097340897920646	3.6621140277246324E-4
Network 82	3.6990240708072094E-4	0.0033929627500153565
