Network structure	Probability in Non-Proneural	Probability in Proneural
Network 1	8.27733013867776E-4	1.2286119998024044E-4
Network 2	0.0015727621994632867	2.0282249288547732E-4
Network 3	0.17509513947207	0.0036321936964955116
Network 4	2.024816210727569E-5	1.617349384197128E-5
Network 5	0.2004037924491695	0.005864969719268949
Network 6	0.08717267173794084	0.3562449088926975
Network 7	0.08717267173794084	0.3562449088926975
Network 8	9.001646841442445E-4	0.03677790071156728
Network 9	8.393664796870962E-4	0.08769425060084651
Network 10	0.4459954500636092	0.15319901029971902
